F1	F2, F21,S16,S18, S19,S21
F2	F1, S16, S18, S19
F3	F54, S1, S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
F4	F6,S9
F5	F6, F9, F22, F24,F25,F26,F27,S1,S2,S3,S4,S5, S7, S8
F6	F5, F7, F8, S9
F7	F6
F8	F4, F6, F7
F9	F5, F10, F11, F12, S5, S9
F10	F9
F11	F9
F12	F9
F13	F14,S9, S13
F14	F13, F15,S9, S13
F15	F14, F16, F17
F16	F15
F17	F15
F18	F14
F19	
F20	S7
F21	F1,S16
F22	F5, F47, F52, S5, S9
F23	S1, S5, S9
F24	F5, F52, S2, S3, S5, S9
F25	F5, F52, S5, S9
F26	F5, F52, S5, S9
F27	F5, S5, S9
F28	F5, F52,S4, S5, S9
F29	F5, F7, F8, F10, F31, F52, S6
F30	F7, F8, F31
F31	F29, F30
F32	F1, F9, F22, F25, F29, F37, F43, F53, F55, F56, F57, S1,S2,S3, S16
F33	F40, F19, S13
F34	F13, F14, F15, F16, F17, F18, F19, F39
F35	S11
F36	S15
F37	F48, F52, S1
F38	F48, F52, S1
F39	F14, F34
F40	S12
F41	F1, F42,S16,S18, S19
F42	F1, F41,S16,S18, S19,S21
F43	F1, S16,S18, S19,S21
F44	F1, S16,S18, S19
F45	F1, F52,S16,S18, S19
F46	F1, F2, F52, S16,S18, S19
F47	F22, F50, S16,S18, S19,S21
F48	F22, F23, F37, F38, F49,S1
F49	F22
F50	F47
F51	F56, S16, S17
F52	F22, F24, F25, F26, F28, F29, F37, F38, F45, F46, F53, F55, F56
F53	F52, S4
F54	F3
F55	F52, S4
F56	F52, S4, S17
F57	S8
F58	F57, S8
F59	F1, S16
F60	F1, F2,	S16
F61	F2, S16
F62	F1, F2,	S16
F63	F64, S16, S18
F64	F63, S16, S18
F65	F67, F68, F69, F74, S16,S19, S21
F66	F67, F68, F69, F74, S16,S19, S21
F67	F65, F66, S16, S19, S21
F68	F65, F66, F67, S16,S19,S21
F69	F65, F66, S20, S21
F70	F74, S20
F71	F70, F72, F73, S20
F72	F70, F72, F73, S20
F73	F70, S20
F74	F56, S4
F75	F70, F72, F73, S20
N1	
N2	
N3	F1, S16
N4	F1, F2,	S16
N5	F1, S16
N6	F3
N7	
N8	F1, S16
N9	F1, S16
N10	F1, S16
N11	F15
